model,kind,val_mae,val_rmse,val_n,warnings,fit_and_forecast_seconds
naive_persist,delta,25.982467402475937,39.438578922064984,26651,,0.9401166950000288
naive_seasonal,level,30.599163521818042,45.193464125940665,26651,,0.8560952620000535
lin_delta@lags,delta,24.221881176044803,37.53173476683294,26651,,1.0399984069999846
ridge_delta@lags,delta,24.21973263890155,37.530282545272264,26651,,1.0290004610000096
lasso_delta@lags,delta,24.17348467895833,37.395734086638214,26651,,1.025067181000054
enet_delta@lags,delta,24.13508528188825,37.446680126083706,26651,,1.0150355870000567
huber_delta@lags,delta,23.85713818834238,37.46405495719682,26651,,1.9564828200000193
bayes_delta@lags,delta,24.215001313786637,37.53013779044271,26651,,1.03907252099998
hgb_delta@lags,delta,25.936640254380578,40.67936200685076,26651,,2.1940993829999798
rf_delta@lags,delta,25.73513518715923,40.34836879783101,26651,,21.03414731800001
et_delta@lags,delta,25.72885746788787,40.220779768316476,26651,,12.27186271200003
gbr_delta@lags,delta,26.254669915439663,40.00389141005522,26651,,25.863739862999978
xgb_d3_delta@lags,delta,26.323178714596306,40.31093237315044,26651,,2.4516564230000313
xgb_d6_delta@lags,delta,25.987699202203544,40.570212837285794,26651,,2.9724571100000503
lin_delta@location,delta,24.523641224128696,37.43641752538905,26651,,2.7538962930000253
ridge_delta@location,delta,24.494153168575167,37.41727878998657,26651,,1.8407620310000539
lasso_delta@location,delta,24.17348467895833,37.395734086638214,26651,,1.8099994620000643
enet_delta@location,delta,24.13508528188825,37.446680126083706,26651,,1.753787210999917
huber_delta@location,delta,23.7987576649317,37.21690458493214,26651,,24.381899507999947
bayes_delta@location,delta,24.476382047676,37.43726953741934,26651,,3.66760727999997
hgb_delta@location,delta,26.266932498875804,41.459481779875375,26651,,9.299264318000041
rf_delta@location,delta,25.848639881931433,40.3989118350247,26651,,80.40351712400002
et_delta@location,delta,25.651881892365118,39.82255129172498,26651,,103.91255771800002
gbr_delta@location,delta,26.403188777811522,39.76025742907807,26651,,111.46990841799993
xgb_d3_delta@location,delta,26.387069906856798,40.524209089782836,26651,,6.2713160100001915
xgb_d6_delta@location,delta,25.935948697561667,40.854795672556776,26651,,6.6253549990001375
