Region,Postcode
Inner Melbourne,3000
Inner Melbourne,3002
Inner Melbourne,3003
Inner Melbourne,3004
Inner Melbourne,3005
Inner Melbourne,3006
Inner Melbourne,3008
Inner Melbourne,3051
Inner Melbourne,3052
Inner Melbourne,3053
Inner Melbourne,3054
Inner Melbourne,3065
Inner Melbourne,3066
Inner Melbourne,3067
Inner Melbourne,3068
Inner Melbourne,3121
Inner Melbourne,3141
Inner Melbourne,3142
Inner Melbourne,3143
Inner Melbourne,3181
Inner Melbourne,3182
Inner Melbourne,3183
Inner Melbourne,3184
Inner Melbourne,3205
Inner Melbourne,3206
Inner Melbourne,3207
Inner Eastern Melbourne,3101
Inner Eastern Melbourne,3102
Inner Eastern Melbourne,3103
Inner Eastern Melbourne,3104
Inner Eastern Melbourne,3105
Inner Eastern Melbourne,3106
Inner Eastern Melbourne,3107
Inner Eastern Melbourne,3108
Inner Eastern Melbourne,3109
Inner Eastern Melbourne,3111
Inner Eastern Melbourne,3122
Inner Eastern Melbourne,3123
Inner Eastern Melbourne,3124
Inner Eastern Melbourne,3125
Inner Eastern Melbourne,3126
Inner Eastern Melbourne,3127
Inner Eastern Melbourne,3128
Inner Eastern Melbourne,3129
Inner Eastern Melbourne,3130
Inner Eastern Melbourne,3131
Inner Eastern Melbourne,3133
Inner Eastern Melbourne,3146
Inner Eastern Melbourne,3147
Inner Eastern Melbourne,3148
Inner Eastern Melbourne,3149
Inner Eastern Melbourne,3150
Inner Eastern Melbourne,3151
Inner Eastern Melbourne,3168
Inner Eastern Melbourne,3170
Southern Melbourne,3144
Southern Melbourne,3145
Southern Melbourne,3161
Southern Melbourne,3162
Southern Melbourne,3163
Southern Melbourne,3165
Southern Melbourne,3166
Southern Melbourne,3185
Southern Melbourne,3186
Southern Melbourne,3187
Southern Melbourne,3188
Southern Melbourne,3189
Southern Melbourne,3190
Southern Melbourne,3191
Southern Melbourne,3192
Southern Melbourne,3193
Southern Melbourne,3194
Southern Melbourne,3195
Southern Melbourne,3204
Outer Western Melbourne,3011
