suburb_group,apartment_type,bedrooms,postcodes,horizon,label,anchor_median,prediction,lower,upper
Albert Park-Middle Park-West St Kilda,flat,1,3206.0,1,2025 Q4,450.0,454.43,437.13,471.72
Albert Park-Middle Park-West St Kilda,flat,2,3206.0,1,2025 Q4,643.0,645.99,628.7,663.28
Albert Park-Middle Park-West St Kilda,flat,3,3206.0,1,2025 Q4,825.0,815.51,798.22,832.81
Albert Park-Middle Park-West St Kilda,house,2,3206.0,1,2025 Q4,760.0,761.44,744.15,778.73
Albert Park-Middle Park-West St Kilda,house,3,3206.0,1,2025 Q4,1150.0,1151.84,1134.54,1169.13
Albert Park-Middle Park-West St Kilda,house,4,3206.0,1,2025 Q4,1400.0,1397.21,1379.92,1414.5
Altona,flat,1,3018.0,1,2025 Q4,385.0,389.19,371.9,406.48
Altona,flat,2,3018.0,1,2025 Q4,475.0,478.24,460.94,495.53
Altona,flat,3,3018.0,1,2025 Q4,550.0,552.72,535.42,570.01
Altona,house,2,3018.0,1,2025 Q4,490.0,493.01,475.72,510.3
Altona,house,3,3018.0,1,2025 Q4,530.0,533.68,516.39,550.97
Altona,house,4,3018.0,1,2025 Q4,580.0,583.71,566.42,601.0
Armadale,flat,1,3143.0,1,2025 Q4,450.0,454.31,437.02,471.6
Armadale,flat,2,3143.0,1,2025 Q4,650.0,654.49,637.19,671.78
Armadale,flat,3,3143.0,1,2025 Q4,1000.0,1006.5,989.21,1023.79
Armadale,house,2,3143.0,1,2025 Q4,830.0,836.56,819.27,853.85
Armadale,house,3,3143.0,1,2025 Q4,1100.0,1099.38,1082.09,1116.67
Armadale,house,4,3143.0,1,2025 Q4,1738.0,1751.77,1734.48,1769.07
Aspendale-Chelsea-Carrum,flat,1,3195.0,1,2025 Q4,435.0,437.53,420.24,454.83
Aspendale-Chelsea-Carrum,flat,2,3195.0,1,2025 Q4,545.0,549.53,532.23,566.82
Aspendale-Chelsea-Carrum,flat,3,3195.0,1,2025 Q4,675.0,678.65,661.36,695.94
Aspendale-Chelsea-Carrum,house,2,3195.0,1,2025 Q4,550.0,553.35,536.06,570.65
Aspendale-Chelsea-Carrum,house,3,3195.0,1,2025 Q4,680.0,683.27,665.98,700.56
Aspendale-Chelsea-Carrum,house,4,3195.0,1,2025 Q4,870.0,872.5,855.21,889.79
Bairnsdale,flat,1,3860.0,1,2025 Q4,290.0,292.28,274.98,309.57
Bairnsdale,flat,2,3860.0,1,2025 Q4,370.0,373.55,356.26,390.84
Bairnsdale,flat,3,3860.0,1,2025 Q4,458.0,462.1,444.81,479.39
Bairnsdale,house,2,3860.0,1,2025 Q4,390.0,393.11,375.82,410.4
Bairnsdale,house,3,3860.0,1,2025 Q4,460.0,463.33,446.04,480.63
Bairnsdale,house,4,3860.0,1,2025 Q4,550.0,552.91,535.62,570.2
Ballarat,flat,1,3350.0,1,2025 Q4,285.0,287.55,270.26,304.85
Ballarat,flat,2,3350.0,1,2025 Q4,360.0,362.99,345.7,380.28
Ballarat,flat,3,3350.0,1,2025 Q4,400.0,403.13,385.84,420.42
Ballarat,house,2,3350.0,1,2025 Q4,360.0,362.77,345.48,380.06
Ballarat,house,3,3350.0,1,2025 Q4,410.0,413.75,396.46,431.05
Ballarat,house,4,3350.0,1,2025 Q4,475.0,479.41,462.11,496.7
Balwyn,flat,1,3103.0,1,2025 Q4,500.0,504.03,486.74,521.32
Balwyn,flat,2,3103.0,1,2025 Q4,588.0,591.79,574.49,609.08
Balwyn,flat,3,3103.0,1,2025 Q4,798.0,800.52,783.23,817.82
Balwyn,house,2,3103.0,1,2025 Q4,570.0,573.77,556.48,591.07
Balwyn,house,3,3103.0,1,2025 Q4,750.0,754.97,737.68,772.26
Balwyn,house,4,3103.0,1,2025 Q4,1000.0,1000.61,983.32,1017.9
Bayswater,flat,1,3153.0,1,2025 Q4,393.0,396.98,379.68,414.27
Bayswater,flat,2,3153.0,1,2025 Q4,493.0,497.12,479.83,514.42
Bayswater,flat,3,3153.0,1,2025 Q4,590.0,592.93,575.64,610.22
Bayswater,house,2,3153.0,1,2025 Q4,500.0,502.56,485.27,519.85
Bayswater,house,3,3153.0,1,2025 Q4,590.0,594.2,576.91,611.49
Bayswater,house,4,3153.0,1,2025 Q4,675.0,678.83,661.54,696.12
Belmont-Grovedale,flat,1,3216.0,1,2025 Q4,340.0,344.15,326.86,361.44
Belmont-Grovedale,flat,2,3216.0,1,2025 Q4,430.0,433.46,416.17,450.75
Belmont-Grovedale,flat,3,3216.0,1,2025 Q4,500.0,503.79,486.5,521.08
Belmont-Grovedale,house,2,3216.0,1,2025 Q4,450.0,453.44,436.15,470.73
Belmont-Grovedale,house,3,3216.0,1,2025 Q4,500.0,504.0,486.71,521.29
Belmont-Grovedale,house,4,3216.0,1,2025 Q4,550.0,554.56,537.27,571.85
Benalla,flat,1,3672.0,1,2025 Q4,305.0,310.48,293.19,327.77
Benalla,flat,2,3672.0,1,2025 Q4,370.0,373.38,356.09,390.67
Benalla,house,2,3672.0,1,2025 Q4,380.0,382.95,365.65,400.24
Benalla,house,3,3672.0,1,2025 Q4,450.0,453.12,435.83,470.41
Benalla,house,4,3672.0,1,2025 Q4,570.0,574.73,557.44,592.03
Bendigo,flat,1,3550.0,1,2025 Q4,330.0,334.03,316.74,351.32
Bendigo,flat,2,3550.0,1,2025 Q4,400.0,402.51,385.22,419.8
Bendigo,house,2,3550.0,1,2025 Q4,470.0,473.77,456.48,491.06
Bendigo,house,3,3550.0,1,2025 Q4,480.0,483.99,466.7,501.28
Bendigo,house,4,3550.0,1,2025 Q4,580.0,586.89,569.6,604.18
Bentleigh,flat,1,3204.0,1,2025 Q4,405.0,409.23,391.94,426.53
Bentleigh,flat,2,3204.0,1,2025 Q4,590.0,594.58,577.29,611.87
Bentleigh,flat,3,3204.0,1,2025 Q4,750.0,752.3,735.01,769.59
Bentleigh,house,2,3204.0,1,2025 Q4,600.0,603.09,585.79,620.38
Bentleigh,house,3,3204.0,1,2025 Q4,735.0,738.47,721.18,755.76
Bentleigh,house,4,3204.0,1,2025 Q4,1025.0,1026.83,1009.54,1044.12
Berwick,flat,2,3806.0,1,2025 Q4,500.0,503.36,486.07,520.66
Berwick,flat,3,3806.0,1,2025 Q4,550.0,554.35,537.05,571.64
